"","text","retweet_count","favorited","truncated","id_str","in_reply_to_screen_name","source","retweeted","created_at","in_reply_to_status_id_str","in_reply_to_user_id_str","lang","listed_count","verified","location","user_id_str","description","geo_enabled","user_created_at","statuses_count","followers_count","favourites_count","protected","user_url","name","time_zone","user_lang","utc_offset","friends_count","screen_name"
"676","RT @gehem007: @1978BABY looks like you don't know Hillary Clinton's history even though it wasmentioned in that M.A's piece. Also: https://‚Ä¶",1,FALSE,FALSE,"697530465100562433",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Wed Feb 10 21:19:57 +0000 2016",NA,NA,"en",44,FALSE,NA,"4045052652","Long time activist for human/civil/immigrant/animal rights. I believe feminism is an absolute necessity. I support @foodnotbombs. Poverty is a curable injustice",FALSE,"Wed Oct 28 09:37:12 +0000 2015",8521,960,14925,FALSE,NA,"christopher m","Pacific Time (US & Canada)","en",-28800,1903,"cmmcmmcmmcmm"
"697","#News #World A Tale of Two Clintons: Let's look then, at what kind of experience Hillary Clinton ha... https://t.co/akvWIwrKds #WorldNews",0,FALSE,FALSE,"697530469869494272",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",FALSE,"Wed Feb 10 21:19:58 +0000 2016",NA,NA,"en",1047,FALSE,"New Jersey, USA","3265559538","#Women #News Worldwide #Feminism #LikeAGirl #LGBT #Islamophobia #DomesticViolence #UniteBlue #AnimalRights #Gunsense Powered by @AnimalRightsJen",FALSE,"Thu Jul 02 02:24:14 +0000 2015",548382,16815,1131,FALSE,NA,"Women's News","America/New_York","en",-18000,8948,"WomenWorldNews1"
"727","Hillary Clinton's Support for GMOs Confirmed by Gates Foundation - Sustainable Pulse https://t.co/hoa6aA2E06",0,FALSE,FALSE,"697530474927763456",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",FALSE,"Wed Feb 10 21:19:59 +0000 2016",NA,NA,"en",0,FALSE,NA,"544641065",NA,FALSE,"Tue Apr 03 22:30:00 +0000 2012",16460,6,1,FALSE,NA,"Karolee","Atlantic Time (Canada)","en",-14400,35,"Karolee4"
"735","RT @TalKopan: Former WH spox says Obama is supporting Hillary Clinton: https://t.co/nx2FHU5kiB",8,FALSE,FALSE,"697530476349804544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Feb 10 21:19:59 +0000 2016",NA,NA,"en",57,FALSE,"M√ºnchen, Bayern","482763399","Bester St√ºrmer, den der FC Bayern nie hatte. Ansonsten Rechtsanwalt und Sozialdemokrat mit (Rest-) Visionen. Abh√§ngig von Koffein und ...umstrittener... Musik.",FALSE,"Sat Feb 04 08:42:45 +0000 2012",20959,1793,599,FALSE,NA,"Sebastian Roloff","Berlin","de",3600,844,"SebRoloff"
"744","Jen Gerson: Hillary Clinton‚Äôs feminism problem . It back fired !! Good !!! https://t.co/Chsu9udawN",0,FALSE,FALSE,"697530478581174272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Feb 10 21:20:00 +0000 2016",NA,NA,"en",10,FALSE,NA,"3115270649",NA,TRUE,"Wed Mar 25 16:41:33 +0000 2015",6408,497,2422,FALSE,NA,"Victor",NA,"en",NA,2476,"Victor56883135"
"761","RT @mmfa: Newsweek destroys partisan attacks on Hillary Clinton‚Äôs email: https://t.co/nGdusRJU1O",8,FALSE,FALSE,"697530482649485312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Feb 10 21:20:01 +0000 2016",NA,NA,"en",13,FALSE,NA,"15906188",NA,FALSE,"Tue Aug 19 16:38:14 +0000 2008",12259,469,21846,FALSE,NA,"M.Carroll","Pacific Time (US & Canada)","en",-28800,416,"_mcarroll"
"778","RT @MaryBeforeJane: When Hillary Clinton said that #weed should only be available under ""appropriate circumstances""Ì†æÌ¥îÌ†ΩÌ∏íÌ†ΩÌ∏ñÌ†ΩÌ∏≠ https://t.co/m3ZMfW‚Ä¶",1333,FALSE,FALSE,"697530486097387520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Feb 10 21:20:02 +0000 2016",NA,NA,"en",1,FALSE,"paradise","2855045337","*crown emoji*",TRUE,"Sat Nov 01 15:26:20 +0000 2014",4609,434,7678,FALSE,NA,"jada","Pacific Time (US & Canada)","en",-28800,900,"princess_jaddaa"
"811","RT @CauseWereGuys: RT for Puppy Monkey Baby

Like for Hillary Clinton https://t.co/5qvKRJWzX1",4566,FALSE,FALSE,"697530492225126400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Feb 10 21:20:03 +0000 2016",NA,NA,"en",1,FALSE,"New York","1511847733","7-7-13. Forever and always.",TRUE,"Wed Jun 12 22:47:54 +0000 2013",251,102,5372,FALSE,NA,"Dylan Stocking","Eastern Time (US & Canada)","en",-18000,63,"stocking_dylan"
"818","RT @LatinoVoices: Hillary Clinton is relying on minority voters, but they're not all relying on her https://t.co/6g4c3Pp4bl",11,FALSE,FALSE,"697530493575700480",NA,"<a href=""http://www.voteus.info"" rel=""nofollow"">iTweet for Reform</a>",FALSE,"Wed Feb 10 21:20:03 +0000 2016",NA,NA,"en",61,FALSE,NA,"2252983828",NA,FALSE,"Mon Dec 30 21:59:14 +0000 2013",132998,812,191,FALSE,NA,"hansel",NA,"en",NA,986,"hansel_gmail"
"844","Hillary Clinton has a major honesty problem after New Hampshire
https://t.co/SzmNVSWgLD #NotMeUs #WeAreBernie #FeelTheBern",0,FALSE,FALSE,"697530498503946240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Wed Feb 10 21:20:04 +0000 2016",NA,NA,"en",21,FALSE,"El Paso, TX","3505692801","re-tweeting news stories that I find important.Interested in signal boosting worthy causes and propagation of powerful memes. #FeelTheBERN #WeAreBernie",FALSE,"Mon Aug 31 21:28:39 +0000 2015",3955,207,60,FALSE,NA,"Michael Martin","Mountain Time (US & Canada)","en",-25200,281,"theadjournalist"
"848","RT @taygogo: Hillary Clinton deserves to be on the same stage as the Republicans. She is a conservative oppressor. I do not distinguish bet‚Ä¶",182,FALSE,FALSE,"697530499489660929",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",FALSE,"Wed Feb 10 21:20:05 +0000 2016",NA,NA,"en",5,FALSE,"tx","339205888","#sagittarius // 18 // mckenny // phhhoto: gxxxbi",FALSE,"Wed Jul 20 19:01:58 +0000 2011",39479,1007,5221,FALSE,"https://soundcloud.com/this_is_abstract/illusions-vbstrvct-x-nate-v-prod-by-keyhawn","g ‚ùÅ","Central Time (US & Canada)","en",-21600,485,"_gxbi2glocks"
"851","RT @KateHarding: And here it is: Reasons Why Hillary Clinton Has Earned My Vote https://t.co/HBGNygn9za",193,FALSE,FALSE,"697530500479455232",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Wed Feb 10 21:20:05 +0000 2016",NA,NA,"en",1,FALSE,NA,"397100162","What is this, Horseville? Because I am surrounded by naysayers.",FALSE,"Mon Oct 24 07:26:01 +0000 2011",763,139,167,FALSE,NA,"Emma Marshall","Pacific Time (US & Canada)","en",-28800,434,"emmarshall47"
"883","Jen Gerson: Hillary Clinton‚Äôs feminism problem https://t.co/Chsu9udawN",0,FALSE,FALSE,"697530508452954114",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Feb 10 21:20:07 +0000 2016",NA,NA,"en",10,FALSE,NA,"3115270649",NA,TRUE,"Wed Mar 25 16:41:33 +0000 2015",6409,497,2422,FALSE,NA,"Victor",NA,"en",NA,2476,"Victor56883135"
"917","RT @MaryBeforeJane: When Hillary Clinton said that #weed should only be available under ""appropriate circumstances""Ì†æÌ¥îÌ†ΩÌ∏íÌ†ΩÌ∏ñÌ†ΩÌ∏≠ https://t.co/m3ZMfW‚Ä¶",1334,FALSE,FALSE,"697530514220036096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Feb 10 21:20:08 +0000 2016",NA,NA,"en",6,FALSE,NA,"756015660","I have a thing for light skin guys",FALSE,"Mon Aug 13 23:15:19 +0000 2012",27444,1803,10962,FALSE,"http://ang-xox.tumblr.com","Ang","Central Time (US & Canada)","en",-21600,1245,"Angelaaa_xoxox"
"929","RT @StopNuclearWar: Michelle Alexander, Author of 'The New Jim Crow': Hillary Clinton doesn't deserve the support of black voters https://t‚Ä¶",9,FALSE,FALSE,"697530516296372225",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",FALSE,"Wed Feb 10 21:20:09 +0000 2016",NA,NA,"en",5,FALSE," NCCU. Esq.","86417717","..In the midst of opposition, be BRAVE enough to be who you really are..  #BlackLivesMatter #Activist #BlackTwitter #PoliSci",FALSE,"Fri Oct 30 23:15:56 +0000 2009",25621,375,317,FALSE,NA,"Kevin Jay","Eastern Time (US & Canada)","en",-18000,378,"PrinceKevJay"
"931","RT @Suntimes: Hillary Clinton isn't sure what it means to go ""viral."" https://t.co/9CkHMBtkCt https://t.co/C8Y2aevUhH",2,FALSE,FALSE,"697530516191350784",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Wed Feb 10 21:20:09 +0000 2016",NA,NA,"en",22,FALSE,"Moline, IL ","547661012","Producer at #WHBF. Graduate of @LoyolaChicago with a degree in journalism. Love to write, read, laugh, and drink coffee.",TRUE,"Sat Apr 07 14:51:20 +0000 2012",6699,228,1318,FALSE,NA,"Hillary Kenyon","Central Time (US & Canada)","en",-21600,343,"HillaryKenyon"
"961","RT @JohnJAmo1: Take a Look at What a Photographer Spotted on the Ground at Hillary Clinton's N... https://t.co/ctPCuKaNHh via @theblaze",3,FALSE,FALSE,"697530521774071809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Feb 10 21:20:10 +0000 2016",NA,NA,"en",12,FALSE,"Fort Myers FL","1954395668","Conservative thinker. Like to stay informed, be aware of world events. Enjoy reading, laughing, creating stained glass, pets, music lover. Tampa Bay Rays fan.",TRUE,"Fri Oct 11 15:10:25 +0000 2013",4913,183,119,FALSE,NA,"trudie lawrence",NA,"en",NA,219,"trudielynnl"
"974","Hillary Clinton ofrece un discurso optimista pese a la derrota en New Hampshire https://t.co/pWQqTXQmFg",0,FALSE,FALSE,"697530523959345152",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",FALSE,"Wed Feb 10 21:20:11 +0000 2016",NA,NA,"es",1410,TRUE,NA,"1244357988","Noticias globales y √∫ltima hora desde la edici√≥n Am√©rica de EL PA√çS",TRUE,"Tue Mar 05 18:41:17 +0000 2013",38040,82064,32,FALSE,"http://elpais.com/elpais/portada_america.html","EL PAIS Am√©rica","Amsterdam","es",3600,246,"elpais_america"
"984","RT @petejohn10: Assange: A vote for Hillary Clinton is a vote for endless, stupid war https://t.co/BdvPtsaat1",1,FALSE,FALSE,"697530525377024001",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Wed Feb 10 21:20:11 +0000 2016",NA,NA,"en",148,FALSE,"Worldwide","2598298903","Follow for breaking news & battle reports,",FALSE,"Tue Jul 01 17:08:31 +0000 2014",147689,993,2569,FALSE,"https://paper.li/StormBringer15/1426785703","Storm Bringer",NA,"ru",NA,48,"StormBringer15"
"988","RT @LindaSuhler: Why Hillary Clinton Doesn‚Äôt Deserve the Black Vote
#OhHillNo
#WakeUpAmerica
https://t.co/s7Ef5S6g7N
#TCOT https://t.co/8k1‚Ä¶",27,FALSE,FALSE,"697530526488514560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Feb 10 21:20:11 +0000 2016",NA,NA,"en",62,FALSE,"New Jersey, USA","3170577155","Trump Supporter, Republican, Health Care Executive, Barry Manilow Fan, Pit Bull Rescuer, Gun Toting, Mom, Wife, No BS! TRUTH & CONSTITUTION!",FALSE,"Wed Apr 15 16:51:44 +0000 2015",42301,1329,44164,FALSE,NA,"manilowgirl",NA,"en",NA,207,"kessmom22"
"997","RT @TalKopan: Former WH spox says Obama is supporting Hillary Clinton: https://t.co/nx2FHU5kiB",9,FALSE,FALSE,"697530527969054720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Wed Feb 10 21:20:12 +0000 2016",NA,NA,"en",32,FALSE,"√úT: 40.7836,-73.972332","66018063","Howard University Alum, USC Alum, CBS Programming & Development, Inside Edition, Katie Couric Show, Wendy Williams Show, Wendy's Style Squad",TRUE,"Sun Aug 16 01:06:09 +0000 2009",64968,887,950,FALSE,NA,"Ashley Reynolds","Pacific Time (US & Canada)","en",-28800,980,"Ashley_Reynolds"
"1005","Zero zdziwienia. Prez. Barack Obama popiera Hillary Clinton (choƒá oficjalnie nie popiera). https://t.co/EOvmMJ1A9L",0,FALSE,FALSE,"697530530011684864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Feb 10 21:20:12 +0000 2016",NA,NA,"pl",86,FALSE,"Muran√≥w, Warszawa","48428312","The whole package. Smart. Legs. Yelling. A charming lady but a product of domestic politics. You know the drill: links & RTs ‚â† endorsements.",FALSE,"Thu Jun 18 17:48:41 +0000 2009",31209,8152,7005,FALSE,"http://300polityka.pl","Paulina Kozlowska","Warsaw","en",3600,537,"powderblush"
"1026","RT @MaryBeforeJane: When Hillary Clinton said that #weed should only be available under ""appropriate circumstances""Ì†æÌ¥îÌ†ΩÌ∏íÌ†ΩÌ∏ñÌ†ΩÌ∏≠ https://t.co/m3ZMfW‚Ä¶",1335,FALSE,FALSE,"697530533623029761",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Wed Feb 10 21:20:13 +0000 2016",NA,NA,"en",11,FALSE,NA,"2742046073","If you wanna hear REAL music, go cop This Thing Called Life now!",TRUE,"Wed Aug 13 20:28:05 +0000 2014",55946,961,36407,FALSE,NA,"Formation","Eastern Time (US & Canada)","en",-18000,298,"princessd0123"
"1084","El final de la magia de los Clinton: El desastre de Hillary Clinton en New Hampshire ha sembrado dudas sobre u... https://t.co/JhUL7t6pnE",0,FALSE,FALSE,"697530542691000320",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",FALSE,"Wed Feb 10 21:20:15 +0000 2016",NA,NA,"es",68,FALSE,"iPhone: 47.533035,8.474716","33225158","Real Estate Developer, interested in sustainable projects, energy efficieny and green environment, Parhouse GmbH.",TRUE,"Sun Apr 19 15:28:34 +0000 2009",137019,1907,30,FALSE,"http://wefollow.com/Parhouse","Pablo Paredes","Bern","en",3600,1751,"Parhouse"
"1085","Hillary Clinton is banking on an improved organization this time to win the Iowa caucus",0,FALSE,FALSE,"697530543253151744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Wed Feb 10 21:20:15 +0000 2016",NA,NA,"en",0,FALSE,"Hawaii","2818585298","We are a 5 person  boutique  studio.",FALSE,"Fri Sep 19 01:01:30 +0000 2014",1,2,0,FALSE,"http://www.zzhousedesign.com","ZZHOUSE","Pacific Time (US & Canada)","en",-28800,24,"ZZHousp"
"1097","Hillary Clinton: Aus der Zeit gefallen - ZEIT ONLINE https://t.co/8fQWQTIHDR | https://t.co/nZr3Uaa7Tn https://t.co/Ir72aQFsah",0,FALSE,FALSE,"697530545148862464",NA,"<a href=""http://twibble.io"" rel=""nofollow"">Twibble.io</a>",FALSE,"Wed Feb 10 21:20:16 +0000 2016",NA,NA,"de",8,FALSE,"Germany","3187583517","Aktuelle #Nachrichten alle #15 Minuten.",FALSE,"Mon Apr 20 16:49:22 +0000 2015",6125,5,0,FALSE,"http://pffweb.tk","PFF","Pacific Time (US & Canada)","de",-28800,0,"PFFweb"
"1103","Interesting food for thought -- Why Hillary Clinton Doesn‚Äôt Deserve the Black Vote https://t.co/U7y4KvBtFw",0,FALSE,FALSE,"697530546730176512",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",FALSE,"Wed Feb 10 21:20:16 +0000 2016",NA,NA,"en",7,FALSE,"Kanye West Island - Wondaland","83784031","i like pretty things. IG: @theelastpaige",TRUE,"Tue Oct 20 06:34:16 +0000 2009",26968,129,439,FALSE,NA,"electric lady.","Eastern Time (US & Canada)","en",-18000,283,"TheelastPAIGE"
"1105","RT @ProGloCommons: Here's why black people should think twice before voting for Hillary Clinton   https://t.co/HFtwaQUkt6 #ows #occupyseatt‚Ä¶",3,FALSE,FALSE,"697530547384373248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Wed Feb 10 21:20:16 +0000 2016",NA,NA,"en",23,FALSE,NA,"581468642","Bringing down the oligarchy, protect our mother earth, support the 99%,deconstruct white supremacy, Chicana, La Raza, DEMOCRATA #climatechange #humanrights",FALSE,"Wed May 16 03:11:02 +0000 2012",19669,788,8941,FALSE,NA,"DiablaMorena","Mountain Time (US & Canada)","en",-25200,1110,"conlimonisal"
"1110","El final de la magia de los Clinton: El desastre de Hillary Clinton en New Hampshire ha sembrado dudas sobre u... https://t.co/QvgWPAhoFt",0,FALSE,FALSE,"697530548038688769",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",FALSE,"Wed Feb 10 21:20:16 +0000 2016",NA,NA,"es",4,FALSE,"Monterrey, Nuevo Le√≥n","335968473","Mi vida se vive al d√≠a, haz las cosas y no te arrepientas de algo que nunca hiciste",FALSE,"Fri Jul 15 14:54:50 +0000 2011",7715,954,11,FALSE,NA,"Selene Ortega","Mexico City","es",-21600,1302,"OrtegaMimi"
"6","@HillaryClinton @TheLeadCNN . Free or Much Cheaper National &amp; Secure/Efficient WiFi a Goal Of Millennial Voters To Fuel The 'GIG' Economy.",0,FALSE,FALSE,"697530319402983424","RC5251","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Wed Feb 10 21:19:22 +0000 2016","697529394231836676","563760715","en",47,FALSE,NA,"563760715","Earthling. Born in Louisville, KY. Living In Denver. Abstract Artist & Thinker. Still Waking Up After Years Of Boozing. Progressive Pagan. GEN Xer",FALSE,"Thu Apr 26 14:17:08 +0000 2012",97181,885,1566,FALSE,NA,"Robert Craig","Mountain Time (US & Canada)","en",-25200,1435,"RC5251"
"11","@seanspicer @HillaryClinton could a president be impeached for announcing after elected,that they were Now The First Lesbian President of US",0,FALSE,FALSE,"697530321487712259","seanspicer","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Wed Feb 10 21:19:22 +0000 2016","697226283982462976","20776147","en",2,FALSE,"Ottawa canada","24616501",NA,FALSE,"Mon Mar 16 00:28:31 +0000 2009",474,33,8,FALSE,NA,"Paul Dooling","Quito","en",-18000,345,"ey804paul"
"28","RT @RealJamesWoods: While the #lib #lapdog #media swoon at @HillaryClinton's every cackle, Catherine Herridge is quietly winning the war ht‚Ä¶",93,FALSE,FALSE,"697530324725555200",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",FALSE,"Wed Feb 10 21:19:23 +0000 2016",NA,NA,"en",33,FALSE,NA,"2355250290",NA,FALSE,"Fri Feb 21 19:39:41 +0000 2014",32088,166,27103,FALSE,NA,"Jim",NA,"en",NA,127,"Jimhengstenberg"
"46","It's really great that #HillaryClinton shows panic. That's a first step to get rid of her from our political scene! https://t.co/PSxct7O3aa",0,FALSE,FALSE,"697530327355551745",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Wed Feb 10 21:19:24 +0000 2016",NA,NA,"en",8,FALSE,"Greece","436938596","Policy Analyst - Fields: Greek Politics; US Foreign Policy; Program Evaluation; Coaching.    
RT does not imply endorsement.",TRUE,"Wed Dec 14 19:24:46 +0000 2011",1612,63,588,FALSE,NA,"Angelos Themelis",NA,"en",NA,109,"AngelosThemelis"
"62","@DanaTheBlaze @HillaryClinton In prison.",0,FALSE,FALSE,"697530331558051841","DanaTheBlaze","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Wed Feb 10 21:19:25 +0000 2016","697518797066866688","2279339120","fr",3,FALSE,"Paducah, KY","345130590","Fan of Paducah progress for more than a decade.",TRUE,"Sat Jul 30 03:17:26 +0000 2011",5845,47,215,FALSE,NA,"James McAfee",NA,"en",NA,159,"eraser48"
"67","@ImAngelaBassett @CourtneyBVance @HillaryClinton @HillaryforSC Ì†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏ç",0,FALSE,FALSE,"697530332611022850","ImAngelaBassett","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Wed Feb 10 21:19:25 +0000 2016","697525779312160768","1128218821","und",0,FALSE,NA,"203366197",NA,FALSE,"Sat Oct 16 03:11:09 +0000 2010",365,136,1218,FALSE,NA,"Paula Sofia","Quito","en",-18000,111,"md_sofia"
"74","RT @ImAngelaBassett: Hey Everybody, you good?@CourtneyBVance, the twins&amp;I: standing proud w/@HillaryClinton! @HillaryforSC #HillaryforALL h‚Ä¶",57,FALSE,FALSE,"697530334360031233",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Wed Feb 10 21:19:25 +0000 2016",NA,NA,"en",59,FALSE,"Vermont","1897239480","R.N.-Retired. Wife to super smart & humble guy, Mom to 4 great kids. Catholic, Pro-Life,",TRUE,"Mon Sep 23 13:12:29 +0000 2013",27474,486,66,FALSE,NA,"JB",NA,"en",NA,1326,"6nsinvt"
"81","RT @LiberalMormon: Young Voters Abandon @HillaryClinton for @BernieSanders https://t.co/kFQgWQmuhe via @whohd #notmeus #feelthebern #bernie‚Ä¶",7,FALSE,FALSE,"697530335865741312",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>",FALSE,"Wed Feb 10 21:19:26 +0000 2016",NA,NA,"en",134,FALSE,NA,"833558286","#Progressive,#Humanist,#Caregiver, #Volunteer,Native NYer,Adopt don't Shop, Mostly tweeting about Politics #Bernie2016 RTs do not always imply endorsement.",TRUE,"Wed Sep 19 15:25:17 +0000 2012",53884,1222,5384,FALSE,NA,"Polly Antics","Eastern Time (US & Canada)","en",-18000,986,"pollyantics"
"115","@NewsHour please ask @HillaryClinton #DemDebate if she'll accept nomination if @BernieSanders wins pledged delegates but supers toss 2 her",0,FALSE,FALSE,"697530341305643008","NewsHour","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Wed Feb 10 21:19:27 +0000 2016","696771504134983680","14437914","en",0,FALSE,"Alabama","2918752020",NA,FALSE,"Thu Dec 04 15:46:56 +0000 2014",42,3,168,FALSE,NA,"Brian Lee",NA,"en",NA,27,"f7866259c89b45c"
